bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",720p HD,Radeon Pro 555X 4GB DDR5,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv902-i7-26ghz16gb-ram256gb-ssd-154radeon-555x-4g-mac-osxam-2019,Macbook Pro 15 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,57.899.000,,,,16GB  DDR4,,"15.4"" (2880x1800)",,34.93 x 24.07x 1.55 (mm),,TouchID,1.83 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),·          ,720p HD,Apple GPU 8 core,https://www.hanoicomputer.vn//apple-macbook-air-13-mgna3sa-a-bac-new,Apple Macbook Air 13 (MGNA3SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",31.589.000,,,,8GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),·          ,720p HD,Apple GPU with 8-core,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11csa-a-xam,Apple Macbook Pro 13 Touchbar (Z11C) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",43.989.000,,,,16GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.4Ghz, 6MB cache)",720p HD,Intel Iris Plus 645,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-muhq2-i5-14ghz8gb-ram128gb-ssd133mac-osbac-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,32.989.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp72-i5-2.0ghz-16gb-ram-512gb-ssd-13.3-inch-ips-mac-os-bac-2020,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 4* Thunder Bolt 3",45.989.000,,,,16GB LPDDR4X 3733Mhz,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",720p HD,Intel UHD 617,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfj2-i5-16ghz8gb-ram256gb-ssd133mac-osxam-2019,Macbook Air 13 2019,Mac OS,,"2 * USB Type C, 2* Thunder Bolt 3",31.999.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.25 kg,Wifi 802.11ac - Bluetooth 4.2
,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",720p HD,Radeon Pro 5500M 4GB DDR6,https://www.hanoicomputer.vn//apple-macbook-pro-16-touchbar-mvvk2sa-a-i9-2-3ghz-16gb-ram-1tb-ssd-16-0-radeon-5500m-4g-mac-os-xam-2019,Macbook Pro 16 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,66.989.000,,,,16GB  DDR4,,16‑inch LED‑backlit display with IPS technology,,35.79 x 24.59 x 1.62 cm,,TouchID,2.0 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp52,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 4* Thunder Bolt 3",53.989.000,,,,16GB LPDDR4X 3733Mhz,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",720p HD,Intel UHD 617,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfj2-i5-16ghz8gb-ram128gb-ssd133mac-osxam-2019,Macbook Air 13 2019,Mac OS,,"2 * USB Type C, 2* Thunder Bolt 3",26.989.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.25 kg,Wifi 802.11ac - Bluetooth 4.2
,Bạc (Silver) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",720p HD,Radeon Pro 560X 4GB DDR5,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv932-i9-23ghz16gb-ram512gb-ssd-154radeon-560x-4g-mac-osbac-2019,Macbook Pro 15 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,65.999.000,,,,16GB  DDR4,,"15.4"" (2880x1800)",,34.93 x 24.07x 1.55 (mm),,TouchID,1.83 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (1.4Ghz, 6MB cache)",720p HD,Intel Iris Plus 645,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-muhn2-i5-14ghz8gb-ram128gb-ssd133mac-osxam-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,32.989.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),·          ,720p HD,Apple GPU with 8 core,https://www.hanoicomputer.vn//apple-macbook-air-13-z125sa-a-xam-new,Apple Macbook Air 13 (Z125) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",36.989.000,,,,16GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",720p HD,Radeon Pro 5500M 4GB DDR6,https://www.hanoicomputer.vn//apple-macbook-pro-16-touchbar-mvvm2sa-a-i9-2-3ghz-16gb-ram-1tb-ssd-16-0-radeon-5500m-4g-mac-os-bac-2019,Macbook Pro 16 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,66.989.000,,,,16GB  DDR4,,16‑inch LED‑backlit display with IPS technology,,35.79 x 24.59 x 1.62 cm,,TouchID,2.0 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – vỏ nhôm khối,"Intel Core i5  (2.4Ghz, 8MB cache)",720p HD,Intel Iris Plus 655,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv9a2-i5-24ghz8gb-ram512gb-ssd-133mac-osbac-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,48.999.000,,,,8GB  LPDDR3,,"Retina 13.3"" (2560x1600) IPS LED BackLit",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",720p HD,Radeon Pro 560X 4GB DDR5,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv912-i9-23ghz16gb-ram512gb-ssd-154radeon-560x-4g-mac-osxam-2019,Macbook Pro 15 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,65.999.000,,,,16GB  DDR4,,"15.4"" (2880x1800)",,34.93 x 24.07x 1.55 (mm),,TouchID,1.83 kg,Wifi 802.11ac - Bluetooth 5.0
